container_id,machine_id,time_stamp,app_du,status,cpu_request,cpu_limit,mem_size
c_446,m_3072,0,app_183,started,400,400,1.56
c_447,m_41,0,app_5898,started,400,400,1.56
c_448,m_851,0,app_141,started,800,800,3.13
c_449,m_3042,0,app_2175,started,400,400,1.56
c_450,m_2771,0,app_1590,started,400,400,1.56
c_453,m_3361,686975,app_8632,started,400,400,1.56
c_454,m_3719,0,app_6591,started,400,400,1.56
c_455,m_3336,0,app_4635,started,400,400,1.56
c_457,m_3590,0,app_552,started,800,800,3.13
c_458,m_651,0,app_9618,started,400,400,3.13
c_459,m_3901,0,app_2695,started,800,800,3.13
c_460,m_555,0,app_1819,started,400,400,1.56
c_461,m_1390,0,app_1330,started,400,480,1.56
c_462,m_1862,0,app_4176,started,800,800,3.13
c_463,m_3693,0,app_6464,started,400,400,1.56
c_464,m_2560,0,app_728,started,400,400,1.56
c_465,m_3643,0,app_900,started,400,400,1.56
c_466,m_1599,0,app_9124,started,400,400,1.56
c_467,m_1414,0,app_6763,started,400,400,1.56
c_468,m_2596,0,app_7889,started,400,400,1.56
c_469,m_1316,0,app_3967,started,400,400,1.56
c_470,m_2880,0,app_6512,started,400,400,1.56
c_471,m_780,596822,app_2989,started,400,400,1.56
c_474,m_2303,0,app_9314,started,400,480,1.56
c_475,m_2748,0,app_3912,started,400,400,1.56
c_477,m_3276,0,app_3724,started,400,400,1.56
c_478,m_378,0,app_7350,started,400,400,1.56
c_479,m_1341,0,app_1215,started,400,400,1.56
c_480,m_296,0,app_821,started,800,800,3.13
c_481,m_2520,0,app_2504,started,400,400,1.56
c_482,m_544,0,app_6597,started,800,800,3.13
c_483,m_2412,0,app_3442,started,400,480,1.56
c_484,m_1293,0,app_2965,started,400,400,1.56
c_487,m_356,588217,app_2324,started,800,800,6.25
c_489,m_3784,0,app_512,started,400,400,1.56
c_490,m_1328,0,app_6911,started,400,400,1.56
c_491,m_661,0,app_3590,started,400,480,1.95
c_492,m_807,0,app_1675,started,800,800,3.13
c_494,m_1739,0,app_3924,started,400,400,1.56
c_495,m_162,0,app_5678,started,400,400,1.56
c_496,m_3825,0,app_5840,started,800,960,3.13
c_497,m_1951,0,app_8981,started,400,400,1.56
c_498,m_2390,0,app_4817,started,400,400,1.56
c_499,m_980,0,app_7475,started,400,400,1.56
c_500,m_3635,0,app_3167,started,400,400,1.56
c_501,m_629,0,app_6034,started,400,400,1.56
c_502,m_1851,597134,app_56,started,400,400,1.56
c_503,m_2254,0,app_4088,started,400,400,1.56
